"","x","y","c"
"136",2003,-0.0728759958757587,"Key"
"137",2004,0.163011964336659,"Key"
"138",2005,0.174173494213875,"Key"
"139",2006,0.00884963737229122,"Key"
"140",2007,0.322953646141675,"Key"
"141",2008,-0.143392359831188,"Key"
"142",2009,-0.256841489044739,"Key"
"143",2010,-0.153814924527304,"Key"
"144",2011,-0.186415016689693,"Key"
"145",2012,-0.120325445420655,"Key"
"146",2013,-0.113187223640778,"Key"
"147",2014,-0.0630276629802982,"Key"
"148",2015,0.0449699583208821,"Key"
"149",2016,-0.0283835614092722,"Key"
"150",2017,-0.00331222024996314,"Key"
"151",2018,-0.0504692446935769,"Key"
"152",2019,-0.00809907962977385,"Key"
"153",2020,-0.109993792076905,"Key"
"154",1970,-0.871155702971486,"Loudness"
"155",1971,-1.03332028538933,"Loudness"
"156",1972,-1.3861792491386,"Loudness"
"157",1973,-0.591346451168454,"Loudness"
"158",1974,-1.10658925716238,"Loudness"
"159",1975,-1.39354403437583,"Loudness"
"160",1976,-0.455409885405788,"Loudness"
"161",1977,-0.328144901928342,"Loudness"
"162",1978,-0.25216813297993,"Loudness"
"163",1979,-0.323342611577063,"Loudness"
"164",1980,-0.137548600630345,"Loudness"
"165",1981,-0.230409545860744,"Loudness"
"166",1982,-0.182063985097283,"Loudness"
"167",1983,0.0341460993786806,"Loudness"
"168",1984,-0.0343315726519796,"Loudness"
"169",1985,-0.723174356399018,"Loudness"
"170",1986,-1.06725822083893,"Loudness"
"171",1987,-0.499209558258305,"Loudness"
"172",1988,-1.16687432051718,"Loudness"
"173",1989,-0.943927557196593,"Loudness"
"174",1990,-0.896355626838953,"Loudness"
"175",1991,-0.747934424035488,"Loudness"
"176",1992,-0.678441137235732,"Loudness"
"177",1993,-0.63382981762597,"Loudness"
"178",1994,-0.114123433245164,"Loudness"
"179",1995,-0.124186499566604,"Loudness"
"180",1996,0.212535619707323,"Loudness"
"181",1997,0.0354853930168945,"Loudness"
"182",1998,0.329970525681404,"Loudness"
"183",1999,0.812387888863363,"Loudness"
"184",2000,0.644847837215216,"Loudness"
"185",2001,0.990302304260495,"Loudness"
"186",2002,0.990186402901061,"Loudness"
"187",2003,1.07798389301306,"Loudness"
"188",2004,0.901591230749581,"Loudness"
"189",2005,0.879003854768392,"Loudness"
"190",2006,1.06642761946026,"Loudness"
"191",2007,0.898993408695693,"Loudness"
"192",2008,0.752667214844071,"Loudness"
"193",2009,1.06370210847327,"Loudness"
"194",2010,1.06504655550539,"Loudness"
"195",2011,1.05100890397197,"Loudness"
"196",2012,1.25108038647437,"Loudness"
"197",2013,1.3002630931722,"Loudness"
"198",2014,1.38564512235036,"Loudness"
"199",2015,1.15207229298595,"Loudness"
"200",2016,1.12444052618198,"Loudness"
"201",2017,1.01896359819003,"Loudness"
"202",2018,0.952034449365384,"Loudness"
"203",2019,1.09209912236882,"Loudness"
"204",2020,0.838620900939542,"Loudness"
"205",1970,0.981808789520053,"Mode"
"206",1971,0.311607945067076,"Mode"
"207",1972,-0.0275301694697307,"Mode"
"208",1973,0.735331615419908,"Mode"
"209",1974,0.352017113629682,"Mode"
"210",1975,0.670800554512463,"Mode"
"211",1976,0.832273765565078,"Mode"
"212",1977,0.865426234209319,"Mode"
"213",1978,-0.124222115867265,"Mode"
"214",1979,0.071583560371898,"Mode"
"215",1980,0.954471115037563,"Mode"
"216",1981,0.416236645277574,"Mode"
"217",1982,-0.300185961950206,"Mode"
"218",1983,-0.239196778962022,"Mode"
"219",1984,0.157870807528139,"Mode"
"220",1985,-0.419774374823366,"Mode"
"221",1986,0.166071661596708,"Mode"
"222",1987,0.725810639220449,"Mode"
